pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance,pitcher_run_exp,run_exp,bat_speed,swing_length,pa,bip,singles,doubles,triples,hrs,so,k_percent,bb,bb_percent,api_break_z_with_gravity,api_break_z_induced,api_break_x_arm,api_break_x_batter_in,hyper_speed,bbdist,hardhit_percent,barrels_per_bbe_percent,barrels_per_pa_percent,release_pos_z,release_pos_x,plate_x,plate_z,obp,barrels_total,batter_run_value_per_100,xobp,xslg,pitcher_run_value_per_100,xbadiff,xobpdiff,xslgdiff,wobadiff,swing_miss_percent,arm_angle,attack_angle,attack_direction,swing_path_tilt,rate_ideal_attack_angle,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
2423,467793,"Santana, Carlos",2423,100,0.238,0.182,0.252,0.42,0.326,0.33,0.246,124,521,89.2,16.1,2231,88.6,88.93,244,1049,1374,0.3,6.46,114,146,125,150,297,324,296,-5.227,5.227,70.3,7.5,591,424,75,26,0,23,99,16.8,62,10.5,2.40237,0.54144,0.34273,-0.34273,92,151,39.95271868,7.328605201,5.24534687,5.74,-0.91,-0.06,2.25,0.325,31,0.215724309,0.332,0.415,-0.215724309,-0.008,-0.007,0.005,-0.004,23.3,37.8,11.45279539,-4.044818852,27.05209478,0.612182741,37.59821373,33.95988858
2416,650333,"Arraez, Luis",2416,100,0.314,0.078,0.324,0.392,0.323,0.325,0.31,200,637,86.1,13.3,2231,89.6,89.79,83,1202,1214,0.2,6.46,118,148,109,151,279,312,299,-4.425,4.425,61.4,5.8,669,611,161,32,3,4,29,4.3,21,3.1,2.21266,0.68583,0.43713,-0.26681,90.2,166,23.73158756,1.636661211,1.494768311,5.73,-0.74,-0.26,2.32,0.343,10,0.183153974,0.34,0.4,-0.183153974,0.004,0.003,-0.008,-0.002,6.9,37.2,6.466823312,5.167349391,37.98063668,0.424440299,34.96500586,31.94669541
2415,682985,"Greene, Riley",2415,100,0.262,0.217,0.329,0.479,0.355,0.353,0.253,134,512,91.3,12.2,2235,88.8,88.98,286,1069,1346,0.2,6.41,117,147,123,152,294,328,302,-20.207,20.207,73.5,7.1,581,358,77,27,6,24,156,26.9,61,10.5,2.34235,0.59118,0.37677,-0.23258,92.2,161,47.05882353,13.44537815,8.2616179,5.73,-0.84,-0.2,2.34,0.345,48,0.836728778,0.337,0.477,-0.836728778,0.009,0.008,0.002,0.002,26.8,38.6,10.86769103,1.422300536,43.4112945,0.418960245,32.27912914,31.61666477
2400,665926,"Giménez, Andrés",2400,100,0.252,0.087,0.286,0.34,0.281,0.296,0.262,147,583,85.4,8.3,2245,88.9,89.22,309,1354,1046,0.3,6.43,111,145,105,150,284,319,297,16.162,-16.162,65.9,6.8,632,495,115,22,1,9,97,15.3,25,4,2.33176,0.58468,0.32906,-0.18972,90.6,140,28.48484848,2.828282828,2.215189873,5.78,-0.83,-0.16,2.29,0.297,14,-0.673416667,0.309,0.355,0.673416667,-0.01,-0.012,-0.015,-0.015,22.8,38.1,8.613107942,1.459300961,31.93935446,0.479806139,38.66542084,29.08290798
2394,650559,"De La Cruz, Bryan",2394,100,0.233,0.151,0.289,0.384,0.283,0.302,0.242,136,584,89.6,13.1,2287,88.9,89.08,385,1279,1115,0.2,6.47,109,151,122,146,305,322,292,9.748,-9.748,70.1,7.6,621,419,90,25,0,21,170,27.4,28,4.5,2.34114,0.5917,0.23884,-0.08158,91.7,163,41.38755981,9.330143541,6.280193237,5.72,-0.73,0.34,2.26,0.269,39,-0.407184628,0.279,0.419,0.407184628,-0.009,-0.01,-0.035,-0.019,30.1,38.1,12.62946096,2.192700535,38.07721811,0.505466779,37.66716479,27.62181869
2393,608324,"Bregman, Alex",2393,100,0.26,0.193,0.264,0.453,0.331,0.319,0.257,151,581,89.1,18.2,2259,89.6,89.71,138,1075,1318,0.1,6.47,107,151,120,146,295,325,291,-10.081,10.081,69.8,6.9,633,499,93,30,2,26,86,13.6,43,6.8,2.25181,0.64215,0.37681,0.12562,91.8,167,40.72580645,6.451612903,5.055292259,5.77,-0.8,0.23,2.27,0.314,32,0.421270372,0.313,0.417,-0.421270372,0.003,0.001,0.036,0.012,12.8,37.6,11.596754,-1.723004769,28.53438006,0.660678643,35.11703221,29.779233
2387,592518,"Machado, Manny",2387,100,0.275,0.197,0.302,0.472,0.34,0.338,0.272,163,593,92.4,12.9,2258,89.9,90.19,300,1232,1155,0.3,6.52,108,151,124,147,303,325,296,-14.448,14.448,73.3,7.7,637,473,104,30,0,29,124,19.5,39,6.1,2.24424,0.62589,0.3741,0.15047,93.1,165,49.04458599,11.0403397,8.163265306,5.73,-1.03,0.13,2.32,0.319,52,0.605278592,0.319,0.461,-0.605278592,0.003,0,0.011,0.002,24.4,38.1,6.321150719,1.122728403,25.79073982,0.530647986,40.54791229,30.1604888
2385,677594,"Rodríguez, Julio",2385,100,0.273,0.136,0.344,0.409,0.321,0.344,0.275,155,567,91.7,10.5,2273,89.1,89.34,400,1295,1090,0.2,6.44,107,150,121,147,304,326,294,-6.823,6.823,74.4,7.8,612,413,118,17,0,20,156,25.5,37,6,2.31344,0.59981,0.29125,0.05053,92.8,154,48.42615012,10.16949153,6.862745098,5.74,-0.9,0.13,2.27,0.324,42,0.286079665,0.326,0.463,-0.286079665,-0.002,-0.002,-0.054,-0.023,30.9,39.1,7.16977268,-1.073610438,32.97590244,0.446102819,39.14081264,32.48989043
2381,665833,"Cruz, Oneil",2381,100,0.26,0.191,0.347,0.451,0.332,0.341,0.264,140,539,95.5,9.8,2258,88.4,88.66,376,1102,1279,0.3,6.45,116,146,125,151,300,325,303,-10.432,10.432,76.5,7.6,592,364,82,34,3,21,179,30.2,46,7.8,2.54859,0.41345,0.24142,-0.17281,94.4,150,54.94505495,15.65934066,9.628378378,5.77,-0.96,-0.16,2.28,0.319,57,0.438135237,0.324,0.463,-0.438135237,-0.004,-0.005,-0.012,-0.009,34.1,37.9,7.689082965,-5.688363537,32.96369884,0.403526971,38.11629622,34.59470841
2378,667670,"Rooker, Brent",2378,100,0.293,0.269,0.362,0.562,0.392,0.38,0.266,160,546,91.9,18.9,2265,89,89.19,407,1193,1185,0.2,6.44,108,151,123,146,303,324,295,-40.853,40.853,71.8,7,610,373,93,26,2,39,177,29,55,9,2.30904,0.61586,0.323,0.14753,92.6,171,49.86522911,16.7115903,10.16393443,5.78,-1.07,0.26,2.28,0.361,62,1.717956266,0.337,0.557,-1.717956266,0.027,0.024,0.005,0.012,34.1,38.1,10.92128766,-4.270061832,35.83293741,0.455035971,36.68564388,33.29347888
